prompt_id,prompt,ref_image
LN66,"This picture is clicked outside the city. Here, we see two women standing and holding umbrellas in their hand and in front of them, we see man riding scooter and beside him, we see many buildings which are in white and red color and we even see traffic signal. On left corner of picture, we see man riding bicycle and car moving on road. we even see bridge in blue color and tree.",LN/000000413689.jpg
LN67,This is a collage of two photos. Here we can see a woman playing in the ground and she is holding a racket with her hands. And there is a mesh.,LN/000000166165.jpg
LN68,"In the foreground of this image, there are food items along with a knife and a fork on a white platter which is on the white surface.",LN/000000250766.jpg
LN69,"In this picture there is a girl at the left side of the image and there is a boy at the right side of the image, they both are holding the tennis bats, as they are playing the game, there are trees all around the area of the image, and there are houses at the left side of the image, there is a grass floor around the area of the image, there are bamboos which are placed around the area of the image, there is a dog at the center of the image.",LN/000000504389.jpg
LN70,"in this picture we can see a table and on table we have bottles, knife, rope, plate with some food item on it, tissue paper and aside to this table a person standing and holding onions in one hand.",LN/000000422998.jpg
LN71,"In this picture we can see two men where on is holding bat with hand and other wore gloves to his hand and they both are standing on ground and in the background we can see banners, tree, pole, sky.",LN/000000356094.jpg
LN72,"In this image we can see a group of zebras on the ground, here is the mud, here are the trees, and at above the sky is cloudy.",LN/000000378453.jpg
LN73,"Two persons skating on the snow. In the background we can see trees,poles and snow falling.",LN/000000469828.jpg
LN74,"In the image in the center we can see one woman sitting on the couch and she is holding fork and knife. In front there is a table,on table we can see cloth, bottle and pizza. In the background there is a wall.",LN/000000458992.jpg
LN75,"In this picture we can see two people are standing in front of a building, in front of them we can find couple of bags, in the background we can see couple of lights and hoarding, and also we can see couple of trees, cars in the mirror.",LN/000000526728.jpg
LN76,"In this Image I see boats on the water and I see the grass, cycles and street lights. In the background I see the trees, vehicles and few people on the road, I can also see a house over here.",LN/000000082821.jpg
LN77,"In this picture we can see a group of people where one is sitting on a cart and others are standing on footpath beside to the road and in the background we can see buildings with windows, trees, fence, cars, lights and pump on footpath.",LN/000000381971.jpg
LN78,"In this image i can see a person wearing black shirt and grey pant sitting on couch and holding a mobile in his hands, I can see a table on which there are few plates, few tissues, a glass,a laptop and food items on the plate. I can see the person is wearing a watch. In the background i can see the wall.",LN/000000529762.jpg
LN79,"n this image i can see a black dog holding a cap orange color, at the ground there is a grass in green color.",LN/000000221693.jpg
LN80,In the image we can see a cat which is in golden white color and this is a cap which is in blue color. The cat is wearing a cap.,LN/000000475732.jpg
LN81,"IN this image there is a boy who is surfing at the center of the image and there are two people at the right and left side of the image, there is water all around the area of the image, it seems to be the beach.",LN/000000224222.jpg
LN82,In this image I can see a room. To the right side there is a television On that there are some things are there. I can see cardboard boxes and a table. To the left there is a rice cooker and some clothes to the wall. In the back there are many frames to the wall.,LN/000000368900.jpg
LN83,In this image i can see a food with a tissue the person is holding. We can see four container and a spoons. There are bottles on the table.,LN/000000523807.jpg
LN84,"In this image I can see the group of people sitting and some are standing. In front of these people there is a table. On the table there is a plate with food,packets and sheets. The person with green dress is holding cell phone and bag. To the back of her there is a table. And there are some objects on it. To the left there is a glass.",LN/000000122962.jpg
LN85,"Inside a room there is a story book on the bed, in front of that there are two toys and there is a blue bed sheet above the toys to the right side there is a blue pillow behind it there is a book kept open.",LN/000000262938.jpg
LN86,"It is a sunny day where the picture is taken outside on the road and in the middle there is one clock tower where flower plants are surrounded it and behind that there are buildings and trees, cars present in the picture and there is a big road on the right corner and there is one light pole in the middle of the picture and there is a sky.",LN/000000372260.jpg
LN87,"In the foreground a table is visible on which a plate is kept on that a folk, leafy vegetables, egg omelet and other food stuff is kept. This image is taken inside a room.",LN/000000533958.jpg
LN88,"In this image we can see a cupboard. In the cupboard there are few objects and oven, beside that there is a refrigerator and a cable, there is a mirror hanging on the wall. In the mirror we can see the reflection of the refrigerator, chair, door and a frame hanging on the wall.",LN/000000313130.jpg
LN89,"I can see in this image a bowl, few glasses, a glass bottle, a plate with food on it and other objects.",LN/000000533206.jpg
LN90,There are two elephant standing and there are trees around them and the ground is greenery.,LN/000000474170.jpg
LN91,"In the picture we can see two dogs which are black in color, they are walking on the grass, in the background we can see a railing with green color and trees behind it.",LN/000000090003.jpg
LN92,"In this image, there is an outside view. In the foreground, there is a person wearing clothes and holding an umbrella with her hand. In the background, there is a sky.",LN/000000339823.jpg
LN93,"In the picture we can see a road, beside the road we can see a railing, grass, pole and we can also see a bridge on it we can see a sign board which is blue in color indicating with two arrows, in the background also we can see a same bridge indicating with a two arrows and street lights, and we can also see a pole and sky.",LN/000000449198.jpg
LN94,"There is a giraffe in the middle of the image, on the grass of the land. In front of it, there are plants and grass. In the background, there is water pond, trees, plants and grass on the hill, and other items.",LN/000000445675.jpg
LN95,"In this image on the right there are group of people who are walking, and they are holding umbrellas and some of them are wearing bags. And on the background there are a group of vehicles, and some buses are there. And on the left side there is one tree and on the top of the right side there are some buildings and sky is there, and on the left side there are some poles, trees and buildings are there.",LN/000000233771.jpg
LN96,In this image I can see an aircraft on this road and in the background I can see number of trees and clear view of sky.,LN/000000459467.jpg
LN97,A black and a brown dog is holding a plate and standing on a grass lawn.,LN/000000221693.jpg
LN98,In this image we can see a person on the surfboard surfing on the water. In the background we can see hills and sky.,LN/000000051314.jpg
LN99,In this picture there are group of elephants which are in black in color. In the right bottom there is a plant. In the background there are trees.,LN/000000493284.jpg
LN100,"The image is inside the room. In the image there is a table, on table we can see a tray inside a tray we can see a ice cream,orange and some food. On left corner we can see a plate with some food,knife at bottom there is a mat.",LN/000000544565.jpg
LN101,"In this image, we can see a human in the middle of the sea. And background, we can see a sky and bottom there is a water.",LN/000000270122.jpg
LN102,"In this picture we can see a girl is seated on the chair, in front of her we can find food in the plate, and the plate is on the table, in the background we can see a wall poster on the wall.",LN/000000547854.jpg
LN103,"In the picture there is a fencing,inside the fencing there is an airplane,it looks like it is taking off from the ground,there is a grass beside the land, on the plane it is written as ""american connection"" in the background there is a sky.",LN/000000490413.jpg
LN104,"In this picture we can see a man is skiing with the help of skies, he is smiling, in the background we can find ice and trees.",LN/000000216516.jpg
LN105,In this image a panda is walking on the ground. On the right a person wearing white jacket is walking. He is holding a bottle. In the background there are trees and path.,LN/000000390826.jpg
LN106,"In this image, a man in red t-shirt, he wear a black cap. On his hands, some papers. On right side, we can see stove, cupboard, few items are placed on the shelf and name board, clock. In the middle, we can see wall, some posters. Left side, there is a platform few items are placed on it.",LN/000000330818.jpg
LN107,These are the steps which are white in color. Here is the cat sitting. This looks like an entrance. This is the wall. I think these are the windows at the background inside the room. This room looks dark.,LN/000000360943.jpg
LN108,"In this picture there are 3 people standing in the ground , one person holding the ball in his hand , at the back ground there is a hoarding.",LN/000000516038.jpg
LN109,"In this picture in the a building with clock in it, window, and on the top there is a cross symbol and a roof top. In the front there is another building with red color roof and two chimneys.",LN/000000246522.jpg
LN110,"The picture is clicked in a countryside. In the foreground of the picture there is a field, in the field the horse, plants, trees and grass. In the center of the picture there are trees. In the top of the picture there are mountains. Sky is clear and it is sunny.",LN/000000299609.jpg
LN111,"The person wearing blue shirt is sitting and kept his mouth opened and holding some eatables in one of his hand and a phone in his another hand and there are plants beside him and there are buildings,cars and trees behind him.",LN/000000334309.jpg
LN112,There are few dolls placed on a blue table and there is a chair in the right corner and the background wall is white in color.,LN/000000428867.jpg
LN113,"In the picture we can see a calculator which is black in color and on it there is a mobile phone and it is also black in color, in the background we can see a keyboard which is white in color placed on white paper on the wooden table.",LN/000000561366.jpg
LN114,Here a kid is standing on his head there is a cube shaped cap. On the right there is a shuttle racket. in the background there is a bed and frames on the wall.,LN/000000200421.jpg
LN115,"In this image i can see a food in the oven, at right there are few buttons to operate and there is a bottle in brown color on a white color table, top of the over there is a cloth in white and red color.",LN/000000426253.jpg
LN116,In this picture there are two toilet seats and they are connected with the pipes. To both the ends there are bins. On the top there is a flush connected with the pipes. And in the background there are colorful tiles.,LN/000000206271.jpg
LN117,This is a flight with windows. And a bridge is connected to it on the right side. On the right bottom there is a vehicle. In the background there is sky.,LN/000000479912.jpg
LN118,"In this picture we can see a clock and aside to this clock we have a another clock with bell to it and in the background we can see tree, cars, sky, pole, path and this all are visible from the glass.",LN/000000482487.jpg
LN119,This is the picture of the garden. In the foreground there is a white and green color cake. At the back there are white color flowers. At the bottom there is a grass. At the back there is a building. At the top there sky.,LN/000000556873.jpg
LN120,"There is a group of people. They are standing. some persons are wearing a bags and on the right side of the person is holding a paper. There is group of vehicles. There are parking in the vehicles. There is a stand ,posters on the left side. There is a building ,windows,shop,sign board on the right side. We can see in the background trees ,building with wall,road.",LN/000000019109.jpg
LN121,"In this picture we can see a road and on road we have cars and aside to this road we have a foot path and on foot path we can see pole with light, bin, trees and aside to this foot path we have house with windows, pole with clock on it and in the background we can see sky.",LN/000000168330.jpg
LN122,"In this picture we can see a laptop, phone, spectacle, headphones, bat,book , loudspeakers, bottle and a person lying on the floor.",LN/000000035279.jpg
LN123,"In this room there are sofas,chairs,wall,mirror on the wall,lights,telephone on the table. On the right a TV,remote on the table. In the background there is a door.",LN/000000218091.jpg
LN124,"In this image, there is an outside view. There is a person in the foreground wearing clothes and jumping with a skateboard. There are some trees and sky located in the background.",LN/000000424521.jpg
LN125,In the image we can see a bus on the road which has blue and white color on it. This is a number plate. There are many trees and grass. This is iron fencing. This is a light pole and sky.,LN/000000095843.jpg
LN126,"In this image there are some food items,pan,stove,glasses and some ingredients and at the background of the image there is a person wearing white color dress standing and there is a plant.",LN/000000470773.jpg
LN127,Here we can see elephants in the ground. This is grass. In the background there are trees.,LN/000000167128.jpg
LN128,From this glass window we can able to see a buildings with staircase. Persons are walking and holding umbrellas. Beside this staircase there are bicycles. Far there are number of trees and vehicles on road. Here we can able to see plants on grass.,LN/000000045596.jpg
LN129,"On this cutting board we can able to see chopped vegetables and knife. Beside this cutting board there is a jar, cabbage and food in a plastic cover. This things are kept on a stone surface.",LN/000000116206.jpg
LN130,"Boy in white t-shirt who is wearing red cap is holding racket in his hand and playing tennis. Behind him, we see a sheet which is green in color and we see a poster with some text written on it is placed on that sheet. In front of him, we see a blue color sheet.",LN/000000039951.jpg
LN131,In this image I can see a person with the surfboard. The person is wearing the black color and red color dress. He is wearing the helmet. He is in the water. To the back of person I can see a white color balloon. To the right side I can see two persons sitting on the board. In front of that person I can see a black color object. In the back there are trees and the red color banner.,LN/000000232692.jpg
LN132,In this black white picture there are steps. On the first and last step there are birds sitting. On the second step there is a chameleon.,LN/000000578236.jpg
LN133,"This is a picture of a clock. In the picture there are hands, roman numbers and numbers. On the right there is brown colored wood.",LN/000000184762.jpg
LN134,"This image consists of a table on which there are spoons, napkin, glasses, candles and there is a cake in the middle.",LN/000000173383.jpg
LN135,The person is holding a blue plate which has something on it and there is a kid in front of the person and there are some toys beside her.,LN/000000283268.jpg
LN136,"These are light poles, in-between of this light poles there is a grass. Far there is a plane with wings. Background of this plane there are mountains and trees.",LN/000000033114.jpg
LN137,In the image we can see telephone and banana. There is a paper. This is an object.,LN/000000012667.jpg
LN138,The picture consists of many plants. The picture might be a backyard for a garden. In the center of the picture there is a bench and a white colored cat. On the top there is a window. Towards the left in the center of the picture there is a pipe. There are various kinds of plants in the picture.,LN/000000279145.jpg
LN139,"in this picture we can see a sign board with two stickers pasted on it and in the background we can see wall, road.",LN/000000153568.jpg
LN140,"In this image we can see road, lawn, houses, boards, trees, flags and cars parked near house. In the background we can see blue sky.",LN/000000335177.jpg
LN141,"On the bottom of the image we can see a white round table. There is a peacock feathers on a glass pot. Here we can see a glass window. Through the window we can see trees, buildings and sky.",LN/000000087742.jpg
LN142,"Here there is bench,ground,here there is a wooden stick and here there are grass and here there are trees which are green in color and trees are tall,here there is sky.",LN/000000527960.jpg
LN143,In this picture we can see a truck and two trailers which is on the road. There is a fencing beside a road. On the center we can say mountains. On the topic we can see a blue sky. On the bottom of the image there is a grass.,LN/000000205647.jpg
LN144,I can see in this image a bird is on the water and a boat.,LN/000000475904.jpg
LN145,The image shows that there is an electronic device which is in the center. In the background we can see a car and persons walking on the road.,LN/000000568147.jpg
LN146,"In this image we can see a bathroom, here is the wall green in color,here's some object, here's the door.",LN/000000382734.jpg
LN147,"In this image, there is a floor which is in white color, in the middle there is a person walking and he is holding a bag which is in black color,in the left side there is a mirror, in the top there are some sign boards which are in blue color.",LN/000000012280.jpg
LN148,"I can see in this image a chair and a table. On the table we have few plates, a bowl and other objects on the table. I can also see there is a couple of trees and a pole on the ground.",LN/000000237517.jpg
LN149,Here we can see a couple of zebras present and beside them we can see plants present and behind them we can see a pillar present,LN/000000064499.jpg
LN150,"In this image we can see a giraffe drinking the water, Here are the stones, Here is the grass.",LN/000000235057.jpg
LN151,"In this image we can see there is a snow mountains, trees, and a person doing snow trekking with sticks and skate board wearing a cap, jacket, shoes, track pant and there are some poles around.",LN/000000252507.jpg
LN152,this picture shows a man standing and he wore a spectacles on his face and a black coat and he wore a red tie we see a door on his back,LN/000000244496.jpg
LN153,"We can see chain decorative item,toilet seat,wall,taps. This is floor.",LN/000000505169.jpg
LN154,In the image we can see there is a washroom in which there is a toilet sink and on the tile there is a qr code and there are corner side walls which are in white colour.,LN/000000581615.jpg
LN155,This picture describe about the old photograph of the road on which we can see two carrier vehicle are parked. behind we can see a old market building on which we can see Western Washington market is written. On the top we can see a arch design wall and on the left we can see a road passing beside it. in the ground we can see a cobblestone on the flooring. On the road we can see three vintage vehicles are parked and on the top a clear blue sky.,LN/000000567197.jpg
LN156,"In this image i can see western toilet,wash basin,shower,taps,window and two paintings attached to the red color wall.",LN/000000462614.jpg
LN157,In this image we can see a black bear in the center. Here we can see another bear on the top right side. Here we can see small plants.,LN/000000312586.jpg
LN158,"In this image at the bottom there are some people, flags, poles and grass. In the middle there are many trees and hill. At the top there are kites, sky and clouds.",LN/000000305317.jpg
LN159,"In this image I can see a ground and on it I can see two men where one is sitting on a wheelchair and one is standing. I can see both of them are holding bat and wearing black caps. In the background I can see fencing and number of people are sitting on benches. I can see all of them are wearing t-shirts and most of them are wearing white colour of t-shirt. In the background I can see few cars, a bus, number of trees, street light and sky. Here I can see a pole.",LN/000000259690.jpg
LN160,The picture is clicked near a mountains where on the grass lands there are brown cows and few people sitting and there are two containers where people live. In the background there are huge mountains filled with vegetation and some part of them is filled with snow.,LN/000000332318.jpg
LN161,"In this image, we can see few electronic machines are on the roads we can see at the bottom of the image. On left side, we can see a footpath, few plants, fencing. Right side, we can see a buildings, poles, trees, wires, boards, road. In the middle of the image, there is a vehicle, building, name boards, poles and sky we can see here.",LN/000000230450.jpg
LN162,"In this image i can see few flowers in a pot, the flowers are in red color and the pot is in brown color on a white color table.",LN/000000231237.jpg
LN163,"In this image we can see group of sheep on the ground. Here at back is the wall made of bricks, and at above here is the sky.",LN/000000005992.jpg
LN164,"In this image there is a man standing and holding a flying disk , and the back ground there is grass, plants, iron grills, trees.",LN/000000325991.jpg
LN165,"In the middle there is a girl with white, pink and orange color lines t-shirt, blue jeans and holding a flag in her hand. She is running on the grass. To the top left side there are two people standing. To the bottom right there is a water mark with d 2 and digital.",LN/000000399462.jpg
LN166,"In the picture there is a restaurant in which many people are sitting a girl is sitting on the chair with a table in front of them on the table there is food items on the plate,a girl is eating food items along with the food items there are glasses,bowls and books,there are many frames on the wall,there are many lights present in the room.",LN/000000025603.jpg
LN167,In the image we can see on a table there are desks and there is a bathroom toilet stand and there are three to four bathroom toilet stands in the image which are in different colours.,LN/000000035770.jpg
LN168,In this image I can see a sea and a person riding a on a boat in the sea.,LN/000000574520.jpg
LN169,"I can see in this image a building, a tree and sky.",LN/000000458790.jpg
LN170,In this picture we see 2 persons. The right person is looking at the camera as well as the left one. The left man holds a boy. He and the boy wears cap. Both the men hold glasses. At the right we see shelves containing drink bottles. Also we see light bulbs at the top left.,LN/000000146155.jpg
LN171,In this image i can see a building and a clock. There are windows. In front there is a flags and garden. There is wooden door and a sky.,LN/000000437110.jpg
LN172,"In this image, there is a red color bike, on that bike there is a man sitting and in the right side there is a woman standing and she is smiling, there is a white color wall. In the background there are some green color trees, in the left side there is a white color car and there is a white color shade.",LN/000000299887.jpg
LN173,On the left there are two sheep and we can see legs of few people on the right top corner and in the middle a woman is in squat position holding sheep in her hands behind the sheep there is a person legs.,LN/000000458755.jpg
LN174,In this picture we can see a plane which is on a runway. Front tire of the plane is on the air. On the background we can see a snow mountains. On the top there is a sky. Beside the road we can see a fencing. On the bottom left there is a plants and trees. On the bottom right we can see a white vehicle on the road.,LN/000000404479.jpg
LN175,In this picture there is a woman and a baby standing and smiling and at the back ground there is a wall.,LN/000000500565.jpg
LN176,"It looks like a palace,there is a royal sofa set beside that there is a cupboard and there are some items inside the cupboard to the left side there are some antique pieces,on the wall there is a photo frame and there are lamps on the either side and there are two windows beside the wall to the left side there is a chair and there is a flower vase beside the chair,to the left side of the chair there is a table and there is a pink carpet on the floor.",LN/000000532901.jpg
LN177,In this image I can see number of people are standing. I can see all of them are wearing jackets and most of them are carrying bags. Here I can see a blurry picture of a person with a cycle. In the background I can see a vehicle and few boards. On this this board I can see FSG is written on it.,LN/000000350122.jpg
LN178,The picture is taken at the beach where one person is walking and holding a surfing boards in his hands and beside him there are mountains and water in the picture and in the middle there is some text written on the picture.,LN/000000425702.jpg
LN179,In the image there is a baby holding a toothbrush.,LN/000000311394.jpg
LN180,"In this picture we can see a person wearing a hat, clothes, goggles and a tie. Background is white in color.",LN/000000456559.jpg
LN181,It's a food on the plate and fork is here a man is standing in the veranda it's an iron fencing These are the the big buildings at here and it's a sky.,LN/000000488166.jpg
LN182,"In the image we can see there are two person wearing clothes, helmet and gloves. They are carrying a bag. These are the vehicles and they are sitting on the vehicle. Behind them there are many trees and plants. This is a headlight of the vehicle.",LN/000000192699.jpg
LN183,In this picture there are 2 zebras in the grass.,LN/000000001818.jpg
LN184,"In this picture there is a boy who is riding a horse on the water. On the top we can see a tree, under that there is a woman. On the left we can see a wooden fencing and white color flag. On the right there is a person who is in squat position. We can see in the center green grass.",LN/000000576955.jpg
